V 2453187.8720 53.87  2.671  0.869 2.809 0.227   9.0  2.3   7.4 2.717 0.277
V 2453187.9124 53.61  2.712  1.570 3.134 0.104  15.0  0.9   1.6 3.129 0.109
R 2453187.7350 54.74  2.847  1.262 3.114 0.237  12.0  2.2   3.4 3.093 0.263
R 2453187.7900 54.39  2.977  2.150 3.672 0.230  17.9  1.8   2.2 3.662 0.247
R 2453187.8303 54.13  2.107  1.744 2.735 0.277  19.8  2.9   3.8 2.712 0.310
R 2453187.8722 53.87  2.609  1.292 2.911 0.144  13.2  1.4   3.2 2.893 0.159
R 2453187.9139 53.60  2.429  1.484 2.847 0.093  15.7  0.9   1.0 2.845 0.096
I 2453187.7316 54.76  2.013  0.737 2.143 0.397  10.1  5.2   5.2 2.108 0.461
I 2453187.7758 54.48  2.280  0.768 2.406 0.252   9.3  3.0   6.3 2.347 0.301
I 2453187.8189 54.21  2.269  1.346 2.638 0.377  15.3  4.1   0.6 2.637 0.385
I 2453187.8827 53.80  2.255  1.323 2.614 0.260  15.2  2.8   1.2 2.612 0.271
I 2453187.9160 53.59  2.586  1.614 3.049 0.172  16.0  1.6   0.7 3.048 0.176
U 2453190.7073 41.87  2.023  1.157 2.330 0.499  14.9  6.0   9.3 2.209 0.630
U 2453190.7495 41.72  1.275  1.236 1.776 0.701  22.1 10.8   2.2 1.771 0.749
U 2453190.7963 41.56  1.600  2.781 3.209 0.643  30.0  5.7   5.7 3.145 0.756
B 2453190.7032 41.88  1.673  1.302 2.120 0.249  18.9  3.3   5.2 2.085 0.289
B 2453190.7494 41.72  1.272  1.809 2.212 0.175  27.5  2.3   3.2 2.198 0.194
B 2453190.7953 41.56  1.424  1.853 2.337 0.207  26.2  2.5   1.9 2.332 0.220
B 2453190.8247 41.46  1.443  1.754 2.271 0.388  25.3  4.9   0.9 2.270 0.400
V 2453190.6818 41.95  1.173  1.425 1.846 0.121  25.3  1.9   1.2 1.844 0.126
V 2453190.7295 41.79  1.508  1.524 2.144 0.229  22.7  3.1   1.5 2.141 0.241
V 2453190.7709 41.65  1.179  1.287 1.745 0.130  23.7  2.1   0.5 1.745 0.132
V 2453190.8127 41.50  0.978  1.256 1.592 0.117  26.0  2.1   1.7 1.589 0.124
V 2453190.8350 41.42  0.857  1.286 1.545 0.001  28.2  0.1   3.8 1.532 0.001
R 2453190.6818 41.95  1.230  1.225 1.736 0.070  22.4  1.2   1.6 1.733 0.074
R 2453190.7251 41.81  1.040  1.372 1.721 0.164  26.4  2.7   2.2 1.716 0.176
R 2453190.7700 41.65  1.179  1.459 1.876 0.088  25.5  1.3   1.3 1.874 0.091
R 2453190.8136 41.50  1.138  1.276 1.710 0.079  24.1  1.3   0.2 1.710 0.080
R 2453190.8350 41.42  1.118  1.070 1.548 0.001  21.9  0.1   2.5 1.542 0.001
I 2453190.6846 41.94  1.349  1.445 1.977 0.201  23.5  2.9   0.6 1.977 0.205
I 2453190.7359 41.77  0.856  1.789 1.983 0.228  32.2  3.3   8.0 1.906 0.282
I 2453190.7803 41.61  1.044  1.436 1.776 0.213  27.0  3.4   2.7 1.768 0.232
I 2453190.8190 41.48  0.941  1.308 1.612 0.185  27.1  3.3   2.8 1.604 0.202
